Goterm,ID,Description,NES,pvalue,p.adjust,pergene,FDR
Parturition (GO:0007567),GO:0007567,Parturition,1.780858103,0.004728132,0.153495441,0.3125,0.153471318
Carbohydrate derivative catabolic process (GO:1901136),GO:1901136,Carbohydrate derivative catabolic process,1.465677606,0.004877328,0.156056478,0.281914894,0.156031952
Intracellular ph reduction (GO:0051452),GO:0051452,Intracellular ph reduction,1.624495619,0.004884622,0.156056478,0.320754717,0.156031952
Calcium ion homeostasis (GO:0055074),GO:0055074,Calcium ion homeostasis,1.347605983,0.004901311,0.156056478,0.239467849,0.156031952
Lysosome organization (GO:0007040),GO:0007040,Lysosome organization,1.602732581,0.004943154,0.156056478,0.369230769,0.156031952
Lytic vacuole organization (GO:0080171),GO:0080171,Lytic vacuole organization,1.602732581,0.004943154,0.156056478,0.369230769,0.156031952
"Mitochondrial electron transport, nadh to ubiquinone (GO:0006120)",GO:0006120,"Mitochondrial electron transport, nadh to ubiquinone",-1.680985742,0.004954174,0.156056478,0.333333333,0.156031952
Negative regulation of synaptic transmission (GO:0050805),GO:0050805,Negative regulation of synaptic transmission,1.587529097,0.005078637,0.158346718,0.295774648,0.158321833
Regulation of tube size (GO:0035150),GO:0035150,Regulation of tube size,1.510621581,0.005192425,0.158346718,0.325757576,0.158321833
Cytidine catabolic process (GO:0006216),GO:0006216,Cytidine catabolic process,-1.800296881,0.005204945,0.158346718,0.5,0.158321833
Cytidine deamination (GO:0009972),GO:0009972,Cytidine deamination,-1.800296881,0.005204945,0.158346718,0.5,0.158321833
Cytidine metabolic process (GO:0046087),GO:0046087,Cytidine metabolic process,-1.800296881,0.005204945,0.158346718,0.5,0.158321833
Regulation of oxidoreductase activity (GO:0051341),GO:0051341,Regulation of oxidoreductase activity,1.553486086,0.005216567,0.158346718,0.27184466,0.158321833
L-amino acid transport (GO:0015807),GO:0015807,L-amino acid transport,1.584235077,0.005242464,0.158346718,0.464788732,0.158321833
Reactive oxygen species metabolic process (GO:0072593),GO:0072593,Reactive oxygen species metabolic process,1.406401257,0.005265405,0.158346718,0.299242424,0.158321833
Regulation of cell maturation (GO:1903429),GO:1903429,Regulation of cell maturation,-1.744095863,0.005284926,0.158346718,0.260869565,0.158321833
Regulation of glutamate secretion (GO:0014048),GO:0014048,Regulation of glutamate secretion,1.791037653,0.00528522,0.158346718,0.533333333,0.158321833
Nucleoside diphosphate metabolic process (GO:0009132),GO:0009132,Nucleoside diphosphate metabolic process,1.491384453,0.005300621,0.158346718,0.331168831,0.158321833
Ncrna processing (GO:0034470),GO:0034470,Ncrna processing,-1.288934413,0.005406404,0.160752098,0.297927461,0.160726834
Cellular lipid catabolic process (GO:0044242),GO:0044242,Cellular lipid catabolic process,1.443179802,0.005466053,0.161769743,0.27826087,0.16174432
Regulation of regulatory t cell differentiation (GO:0045589),GO:0045589,Regulation of regulatory t cell differentiation,-1.706352277,0.005578801,0.163358044,0.4,0.163332371
Regulation of bone resorption (GO:0045124),GO:0045124,Regulation of bone resorption,1.70081078,0.00564392,0.163358044,0.418604651,0.163332371
Response to dexamethasone (GO:0071548),GO:0071548,Response to dexamethasone,1.683672244,0.005659407,0.163358044,0.4,0.163332371
Chromatin assembly or disassembly (GO:0006333),GO:0006333,Chromatin assembly or disassembly,-1.400987747,0.005665722,0.163358044,0.373134328,0.163332371
Dna cytosine deamination (GO:0070383),GO:0070383,Dna cytosine deamination,-1.786145018,0.005671902,0.163358044,0.6,0.163332371
Glycosaminoglycan biosynthetic process (GO:0006024),GO:0006024,Glycosaminoglycan biosynthetic process,1.525867339,0.005673759,0.163358044,0.280373832,0.163332371
Synaptic vesicle cycle (GO:0099504),GO:0099504,Synaptic vesicle cycle,1.44364936,0.005733608,0.164329905,0.338383838,0.164304079
Regulation of t cell receptor signaling pathway (GO:0050856),GO:0050856,Regulation of t cell receptor signaling pathway,-1.665760709,0.005776173,0.164329905,0.255813953,0.164304079
Regulation of cellular ph (GO:0030641),GO:0030641,Regulation of cellular ph,1.548922279,0.005784991,0.164329905,0.27173913,0.164304079
Potassium ion transmembrane transport (GO:0071805),GO:0071805,Potassium ion transmembrane transport,1.447430736,0.005855658,0.165598009,0.284313725,0.165571984
Extracellular matrix organization (GO:0030198),GO:0030198,Extracellular matrix organization,1.362448636,0.006070417,0.17091178,0.248041775,0.17088492
Iron ion transport (GO:0006826),GO:0006826,Iron ion transport,1.549925749,0.006166829,0.171014237,0.407894737,0.17098736
Nadh regeneration (GO:0006735),GO:0006735,Nadh regeneration,1.73512765,0.006181561,0.171014237,0.518518519,0.17098736
Canonical glycolysis (GO:0061621),GO:0061621,Canonical glycolysis,1.73512765,0.006181561,0.171014237,0.518518519,0.17098736
Glucose catabolic process to pyruvate (GO:0061718),GO:0061718,Glucose catabolic process to pyruvate,1.73512765,0.006181561,0.171014237,0.518518519,0.17098736
Positive regulation of cell adhesion (GO:0045785),GO:0045785,Positive regulation of cell adhesion,-1.285973484,0.0062537,0.171756018,0.277909739,0.171729025
Regulation of behavior (GO:0050795),GO:0050795,Regulation of behavior,1.579663035,0.00626236,0.171756018,0.196969697,0.171729025
Ribose phosphate metabolic process (GO:0019693),GO:0019693,Ribose phosphate metabolic process,1.34802422,0.006296892,0.171961898,0.215311005,0.171934873
Glucose import (GO:0046323),GO:0046323,Glucose import,1.589114084,0.006394491,0.173638478,0.432835821,0.17361119
Antigen processing and presentation of endogenous peptide antigen (GO:0002483),GO:0002483,Antigen processing and presentation of endogenous peptide antigen,-1.791277661,0.006440151,0.173638478,0.625,0.17361119
Antigen processing and presentation of endogenous peptide antigen via mhc class i (GO:0019885),GO:0019885,Antigen processing and presentation of endogenous peptide antigen via mhc class i,-1.791277661,0.006440151,0.173638478,0.625,0.17361119
Extracellular structure organization (GO:0043062),GO:0043062,Extracellular structure organization,1.360753666,0.006484734,0.174102791,0.247395833,0.174075429
Iron ion homeostasis (GO:0055072),GO:0055072,Iron ion homeostasis,1.553396362,0.006603318,0.176541643,0.353658537,0.176513898
Glycolytic process through glucose-6-phosphate (GO:0061620),GO:0061620,Glycolytic process through glucose-6-phosphate,1.725871162,0.00667252,0.17687103,0.5,0.176843233
Neurotransmitter secretion (GO:0007269),GO:0007269,Neurotransmitter secretion,1.465354013,0.006701415,0.17687103,0.333333333,0.176843233
Signal release from synapse (GO:0099643),GO:0099643,Signal release from synapse,1.465354013,0.006701415,0.17687103,0.333333333,0.176843233
Regulation of glucose transmembrane transport (GO:0010827),GO:0010827,Regulation of glucose transmembrane transport,1.561419013,0.006726825,0.17687103,0.414285714,0.176843233
Basic amino acid transport (GO:0015802),GO:0015802,Basic amino acid transport,1.74958788,0.006805158,0.178194312,0.444444444,0.178166307
Translational termination (GO:0006415),GO:0006415,Translational termination,-1.479065806,0.006849315,0.17861554,0.504761905,0.178587469
Cytolysis (GO:0019835),GO:0019835,Cytolysis,-1.689883437,0.006912442,0.179526004,0.518518519,0.17949779
Alpha-amino acid metabolic process (GO:1901605),GO:1901605,Alpha-amino acid metabolic process,1.43850896,0.007051565,0.18126619,0.276923077,0.181237702
Zinc ion transport (GO:0006829),GO:0006829,Zinc ion transport,1.721608972,0.007064641,0.18126619,0.518518519,0.181237702
Regulation of mitotic nuclear division (GO:0007088),GO:0007088,Regulation of mitotic nuclear division,1.460714263,0.007070859,0.18126619,0.325,0.181237702
Regulation of lipid storage (GO:0010883),GO:0010883,Regulation of lipid storage,1.618650226,0.007093396,0.18126619,0.34,0.181237702
Regulation of t cell tolerance induction (GO:0002664),GO:0002664,Regulation of t cell tolerance induction,-1.759806548,0.007198953,0.18276005,0.6,0.182731327
Ncrna metabolic process (GO:0034660),GO:0034660,Ncrna metabolic process,-1.269477702,0.00722175,0.18276005,0.247379455,0.182731327
Regulation of neurotransmitter secretion (GO:0046928),GO:0046928,Regulation of neurotransmitter secretion,1.512641373,0.007241814,0.18276005,0.361904762,0.182731327
Cellular response to nutrient levels (GO:0031669),GO:0031669,Cellular response to nutrient levels,1.425313329,0.007268498,0.18276005,0.342592593,0.182731327
Regulation of defense response to virus (GO:0050688),GO:0050688,Regulation of defense response to virus,-1.544296037,0.007295466,0.18276005,0.441558442,0.182731327
Aminoglycan biosynthetic process (GO:0006023),GO:0006023,Aminoglycan biosynthetic process,1.491959014,0.00733115,0.182933744,0.271929825,0.182904995
Beta-catenin-tcf complex assembly (GO:1904837),GO:1904837,Beta-catenin-tcf complex assembly,-1.682989725,0.007438401,0.183116386,0.5,0.183087608
Temperature homeostasis (GO:0001659),GO:0001659,Temperature homeostasis,1.45770465,0.007469376,0.183116386,0.198830409,0.183087608
Adenylate cyclase-activating dopamine receptor signaling pathway (GO:0007191),GO:0007191,Adenylate cyclase-activating dopamine receptor signaling pathway,1.741715221,0.007533995,0.183116386,0.545454545,0.183087608
Ether lipid biosynthetic process (GO:0008611),GO:0008611,Ether lipid biosynthetic process,1.741173755,0.007533995,0.183116386,0.909090909,0.183087608
Glycerol ether biosynthetic process (GO:0046504),GO:0046504,Glycerol ether biosynthetic process,1.741173755,0.007533995,0.183116386,0.909090909,0.183087608
Cellular lipid biosynthetic process (GO:0097384),GO:0097384,Cellular lipid biosynthetic process,1.741173755,0.007533995,0.183116386,0.909090909,0.183087608
Regulation of nuclear division (GO:0051783),GO:0051783,Regulation of nuclear division,1.443109718,0.007539917,0.183116386,0.31147541,0.183087608
Negative regulation of blood vessel diameter (GO:0097756),GO:0097756,Negative regulation of blood vessel diameter,1.538555316,0.007597801,0.18317418,0.25,0.183145393
Carbohydrate biosynthetic process (GO:0016051),GO:0016051,Carbohydrate biosynthetic process,1.422846493,0.007600117,0.18317418,0.298076923,0.183145393
Response to uv-b (GO:0010224),GO:0010224,Response to uv-b,-1.768039817,0.007676676,0.18317418,0.411764706,0.183145393
Positive regulation of nuclear division (GO:0051785),GO:0051785,Positive regulation of nuclear division,1.548951269,0.007711239,0.18317418,0.414285714,0.183145393
Ribonucleotide metabolic process (GO:0009259),GO:0009259,Ribonucleotide metabolic process,1.339486513,0.007761274,0.18317418,0.213235294,0.183145393
Lipid localization (GO:0010876),GO:0010876,Lipid localization,1.337840085,0.007763352,0.18317418,0.251833741,0.183145393
Sensory perception of smell (GO:0007608),GO:0007608,Sensory perception of smell,1.38884758,0.007771655,0.18317418,0.476363636,0.183145393
Negative regulation of single stranded viral rna replication via double stranded dna intermediate (GO:0045869),GO:0045869,Negative regulation of single stranded viral rna replication via double stranded dna intermediate,-1.753750019,0.007772596,0.18317418,0.5625,0.183145393
Cleavage involved in rrna processing (GO:0000469),GO:0000469,Cleavage involved in rrna processing,-1.678823246,0.007894126,0.185165381,0.321428571,0.18513628
Regulation of lymphocyte differentiation (GO:0045619),GO:0045619,Regulation of lymphocyte differentiation,-1.410432034,0.007917174,0.185165381,0.269662921,0.18513628
Bone resorption (GO:0045453),GO:0045453,Bone resorption,1.570950869,0.007944389,0.185165381,0.333333333,0.18513628
Developmental pigmentation (GO:0048066),GO:0048066,Developmental pigmentation,1.618670554,0.008182748,0.188551308,0.355555556,0.188521675
Chloride transmembrane transport (GO:1902476),GO:1902476,Chloride transmembrane transport,1.510215933,0.008186196,0.188551308,0.318681319,0.188521675
Ovulation cycle (GO:0042698),GO:0042698,Ovulation cycle,1.549008259,0.008216927,0.188551308,0.492753623,0.188521675
Mitochondrial translational termination (GO:0070126),GO:0070126,Mitochondrial translational termination,-1.490710676,0.008222812,0.188551308,0.516853933,0.188521675
Osteoclast development (GO:0036035),GO:0036035,Osteoclast development,1.727458337,0.008237822,0.188551308,0.5,0.188521675
Negative regulation of cell junction assembly (GO:1901889),GO:1901889,Negative regulation of cell junction assembly,1.674701134,0.008350731,0.190450535,0.59375,0.190420604
Cellular response to vitamin (GO:0071295),GO:0071295,Cellular response to vitamin,1.686124299,0.008635883,0.19369863,0.482758621,0.193668189
Dna packaging (GO:0006323),GO:0006323,Dna packaging,-1.365890677,0.008653846,0.19369863,0.341013825,0.193668189
Neutral lipid biosynthetic process (GO:0046460),GO:0046460,Neutral lipid biosynthetic process,1.612276036,0.00869417,0.19369863,0.377777778,0.193668189
Acylglycerol biosynthetic process (GO:0046463),GO:0046463,Acylglycerol biosynthetic process,1.612276036,0.00869417,0.19369863,0.377777778,0.193668189
Glial cell development (GO:0021782),GO:0021782,Glial cell development,1.477752679,0.008697003,0.19369863,0.275862069,0.193668189
Cellular response to insulin stimulus (GO:0032869),GO:0032869,Cellular response to insulin stimulus,1.407077172,0.008718396,0.19369863,0.366972477,0.193668189
Negative thymic t cell selection (GO:0045060),GO:0045060,Negative thymic t cell selection,-1.745209414,0.00877193,0.19369863,0.363636364,0.193668189
Regulation of type i interferon production (GO:0032479),GO:0032479,Regulation of type i interferon production,-1.44318047,0.008824367,0.19369863,0.398373984,0.193668189
Positive regulation of glutamate secretion (GO:0014049),GO:0014049,Positive regulation of glutamate secretion,1.734714584,0.008859358,0.19369863,0.6,0.193668189
"Negative regulation of synaptic transmission, glutamatergic (GO:0051967)",GO:0051967,"Negative regulation of synaptic transmission, glutamatergic",1.734293815,0.008859358,0.19369863,0.5,0.193668189
Alditol phosphate metabolic process (GO:0052646),GO:0052646,Alditol phosphate metabolic process,1.733779302,0.008859358,0.19369863,0.5,0.193668189
Estrogen metabolic process (GO:0008210),GO:0008210,Estrogen metabolic process,1.661060923,0.008872651,0.19369863,0.4375,0.193668189
Monosaccharide biosynthetic process (GO:0046364),GO:0046364,Monosaccharide biosynthetic process,1.482707178,0.008888889,0.19369863,0.298969072,0.193668189
Cellular zinc ion homeostasis (GO:0006882),GO:0006882,Cellular zinc ion homeostasis,1.640635729,0.009012132,0.195713973,0.411764706,0.195683215
G protein-coupled purinergic nucleotide receptor signaling pathway (GO:0035589),GO:0035589,G protein-coupled purinergic nucleotide receptor signaling pathway,-1.738700266,0.009210526,0.19810832,0.714285714,0.198077185
Macrophage derived foam cell differentiation (GO:0010742),GO:0010742,Macrophage derived foam cell differentiation,1.644160281,0.009215789,0.19810832,0.416666667,0.198077185
Foam cell differentiation (GO:0090077),GO:0090077,Foam cell differentiation,1.644160281,0.009215789,0.19810832,0.416666667,0.198077185
Purine ribonucleotide metabolic process (GO:0009150),GO:0009150,Purine ribonucleotide metabolic process,1.334436293,0.00928043,0.198403755,0.213740458,0.198372575
